PM1111AAAA;PM1111;34526179M;TURISTA;6;3;100.0
PM1111BCDE;PM1111;00123456S;PREFERENTE;2;2;125.0
PM1111GFER;PM1111;51231621H;PRIMERA;1;1;150.0
PM1111FHTR;PM1111;25058498K;PREFERENTE;4;3;125.0
PM1111JKOR;PM1111;09235258E;TURISTA;6;1;100.0
PM1111DBEN;PM1111;34526179M;PREFERENTE;5;3;125.0
PM1111TRDF;PM1111;00123456S;PREFERENTE;2;3;125.0
PM1111MBRU;PM1111;51231621H;PRIMERA;1;2;150.0
PM1111QWSF;PM1111;25058498K;PREFERENTE;4;1;125.0
PM1111YRMB;PM1111;09235258E;PREFERENTE;5;1;125.0
PM1111XYIN;PM1111;34526179M;PREFERENTE;5;2;125.0
PM1111JVBE;PM1111;00123456S;PREFERENTE;3;2;125.0
PM1111KFLI;PM1111;51231621H;PRIMERA;1;3;150.0
PM1111WRKZ;PM1111;25058498K;PREFERENTE;4;2;125.0
PM1111POND;PM1111;09235258E;PREFERENTE;3;1;125.0
PM0066AAAA;PM0066;34526179M;TURISTA;7;6;182.52
